                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9452,                  2.889,                  1.352,                0.38217,                0.24719,                0.19988,                0.09931,                 1.8698,                 2.0591,                  1.167,             0.00025176,             0.00025176,             0.00025176
                      2,                 1.6805,                 1.5732,                 1.1864,                  0.644,                0.37642,                0.35342,                0.19649,                 1.6952,                 2.0057,                  1.148,             0.00048294,             0.00048294,             0.00048294
                      3,                 1.6356,                 1.4961,                 1.1661,                0.53138,                 0.3381,                0.33525,                0.19432,                  1.759,                 1.5971,                 1.1264,             0.00068874,             0.00068874,             0.00068874
                      4,                 1.6357,                 1.4424,                 1.1487,                0.37446,                0.38408,                0.37567,                0.21002,                 1.6859,                 1.4165,                 1.1137,              0.0006548,              0.0006548,              0.0006548
                      5,                 1.5592,                 1.4145,                 1.1593,                0.38118,                0.40139,                0.37128,                0.20828,                 1.6661,                 1.2915,                  1.116,             0.00061674,             0.00061674,             0.00061674
                      6,                 1.5731,                 1.3323,                  1.148,                0.57743,                0.45905,                0.43695,                0.25876,                 1.6235,                  1.293,                 1.0828,             0.00057867,             0.00057867,             0.00057867
                      7,                 1.5156,                 1.2752,                 1.1117,                0.73164,                0.41051,                0.43567,                0.24683,                 1.5782,                 1.2058,                 1.0917,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.4926,                 1.2533,                 1.1023,                0.57888,                0.44463,                0.42453,                0.25175,                 1.5801,                 1.1674,                 1.0812,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.4501,                 1.2314,                 1.0969,                0.61565,                0.43292,                 0.4441,                0.25353,                 1.5613,                 1.1931,                 1.0674,             0.00046448,             0.00046448,             0.00046448
                     10,                 1.4395,                 1.1955,                 1.0865,                0.50377,                0.41383,                0.43495,                0.24643,                  1.557,                 1.2173,                 1.0706,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.4265,                  1.274,                 1.0738,                 0.5721,                0.46485,                0.44216,                0.25097,                 1.6001,                 1.2128,                 1.0723,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.3971,                 1.1585,                 1.0716,                0.63973,                0.46181,                0.46084,                0.27189,                 1.5199,                 1.1963,                 1.0529,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.3628,                 1.1327,                 1.0676,                0.66696,                0.46661,                0.46765,                0.28712,                 1.5042,                 1.1229,                 1.0483,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.3173,                 1.0843,                 1.0519,                0.61298,                0.49451,                0.48415,                0.29712,                 1.5079,                 1.1061,                 1.0356,             0.00027415,             0.00027415,             0.00027415
                     15,                 1.3077,                 1.0726,                 1.0245,                0.68758,                0.49103,                0.49304,                0.29861,                 1.4775,                  1.045,                 1.0377,             0.00023608,             0.00023608,             0.00023608
                     16,                 1.2826,                0.99261,                   1.03,                0.66723,                0.46942,                0.48511,                0.29909,                 1.4689,                 1.0896,                 1.0339,             0.00019802,             0.00019802,             0.00019802
                     17,                 1.2131,                0.95024,                 1.0054,                0.63845,                 0.4557,                0.47151,                0.29749,                 1.4688,                  1.086,                 1.0405,             0.00015995,             0.00015995,             0.00015995
                     18,                 1.2382,                0.94477,                 1.0186,                0.68163,                0.43624,                0.46923,                 0.2902,                 1.4559,                   1.08,                 1.0321,             0.00012189,             0.00012189,             0.00012189
                     19,                 1.2204,                0.90569,                 1.0107,                0.65918,                0.44034,                0.47566,                0.29781,                 1.4468,                 1.0572,                 1.0283,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                 1.1808,                 0.8734,                0.99964,                0.65421,                0.46178,                0.48584,                0.30487,                 1.4338,                 1.0477,                 1.0235,             4.5756e-05,             4.5756e-05,             4.5756e-05
